epoch,train_acc,train_loss,test_acc,test_loss
10,31.25,2.36349,24.0122,2.2431
20,37.5,2.04002,33.7386,2.281
30,34.375,2.37231,37.386,2.07341
40,25,1.73438,38.2979,1.8996
50,43.75,1.61652,32.2188,1.91145
60,37.5,1.86507,41.0334,1.58188
70,43.75,1.49934,39.5137,1.58685
80,34.375,2.0473,38.9058,1.88668
90,34.375,1.54388,38.6018,1.50435
100,46.875,1.42664,40.7295,1.42494
110,50,1.68549,43.769,1.5991
120,43.75,1.56428,45.8967,1.67339
130,46.875,1.32383,40.1216,1.55134
140,34.375,1.72016,32.2188,1.38324
150,56.25,1.29233,43.769,1.30151
160,43.75,1.35202,44.0729,1.21395
170,37.5,1.3131,27.6596,1.47701
180,43.75,1.62814,43.465,1.65709
190,59.375,0.972461,47.1125,1.35341
200,40.625,1.05189,43.769,1.22872
210,34.375,1.37063,43.465,1.39112
220,50,1.03366,42.8571,1.2747
230,46.875,1.43685,43.465,1.58515
240,34.375,1.17199,31.9149,1.22849
250,43.75,0.998604,44.3769,1.14418
260,25,1.08424,35.5623,1.33618
270,56.25,0.948318,42.5532,1.24731
280,31.25,1.47545,41.9453,1.4644
290,46.875,1.15055,43.769,1.16133
300,65.625,0.91301,41.6413,1.33856
310,37.5,1.38359,43.465,1.25598
320,34.375,1.15002,32.5228,1.18775
330,56.25,0.870428,42.2492,1.20245
340,46.875,1.03404,40.7295,1.34781
350,31.25,1.46065,27.3556,1.39006
360,43.75,1.32538,41.3374,1.39746
370,31.25,1.37164,40.1216,1.26365
380,21.875,1.31869,35.5623,1.23982
390,43.75,1.1211,48.6322,1.19456
400,53.125,0.970061,41.6413,1.20347
410,37.5,1.05077,33.1307,1.25996
420,28.125,1.27951,45.8967,1.22156
430,56.25,0.738499,44.3769,1.11233
440,34.375,1.37902,27.3556,1.48973
450,53.125,1.24482,40.1216,1.49733
460,34.375,1.43649,27.0517,1.35876
470,31.25,1.71655,38.9058,1.5436
480,34.375,1.2671,44.3769,1.08335
490,43.75,1.04635,27.6596,1.33226
500,37.5,1.09098,27.9635,1.20524
510,28.125,1.20749,34.9544,1.17214
520,50,0.675003,43.465,1.02315
530,31.25,1.20655,27.6596,1.33446
540,37.5,1.03026,34.6505,1.21725
550,56.25,0.9796,42.5532,1.24155
560,40.625,1.24091,41.3374,1.15477
570,37.5,1.02963,28.2675,1.21809
580,37.5,1.07895,34.9544,1.07816
590,53.125,0.772383,42.5532,1.01027
600,46.875,0.798354,42.8571,1.04011
610,31.25,1.23875,41.0334,1.17603
620,28.125,1.59214,27.9635,1.54227
630,46.875,1.05751,41.6413,1.2745
640,46.875,0.814063,36.7781,1.16518
