epoch,train_acc,train_loss,test_acc,test_loss
10,37.5,1.56979,30.3951,1.86716
20,37.5,1.7058,34.9544,1.65445
30,43.75,1.53021,35.2584,1.59155
40,31.25,1.60919,34.6505,1.43858
50,34.375,1.38656,38.2979,1.29329
60,25,1.06952,34.9544,1.22104
70,37.5,1.0955,33.1307,1.15011
80,56.25,0.941795,43.1611,1.12988
90,37.5,1.06292,46.2006,1.06942
100,56.25,0.858279,47.4164,1.02779
110,50,0.810072,46.8085,1.02221
120,53.125,0.839438,47.1125,1.02054
130,40.625,0.927045,45.8967,0.966698
140,43.75,1.04078,46.8085,0.954864
150,34.375,0.818234,49.2401,0.92484
160,31.25,1.0244,47.4164,0.919698
170,40.625,0.770246,43.465,0.92051
180,37.5,0.771793,34.6505,0.906031
190,28.125,0.742,45.2888,0.879748
200,31.25,0.837919,36.1702,0.880283
210,37.5,0.927765,46.8085,0.86235
220,34.375,0.866361,47.1125,0.864273
230,62.5,0.751245,47.1125,0.85285
240,56.25,0.789027,46.5046,0.835312
250,50,0.730061,45.2888,0.84818
260,40.625,0.725128,46.8085,0.835866
270,31.25,0.879565,34.6505,0.84084
280,40.625,0.648932,46.8085,0.816995
290,43.75,0.686181,47.1125,0.821672
300,43.75,0.753761,46.2006,0.809695
310,68.75,0.714424,46.5046,0.801613
320,53.125,0.608914,46.8085,0.808524
330,46.875,0.725302,47.1125,0.795172
340,53.125,0.651064,46.8085,0.795697
350,34.375,0.59879,37.386,0.798188
360,46.875,0.64808,46.5046,0.79324
370,50,0.662153,46.2006,0.789448
380,43.75,0.70009,45.8967,0.778982
390,43.75,0.740245,45.5927,0.777022
400,37.5,0.761091,35.8663,0.789592
410,37.5,0.749425,44.6809,0.787412
420,59.375,0.669935,46.2006,0.775257
430,43.75,0.710633,38.2979,0.775014
440,28.125,0.684135,38.2979,0.78461
450,56.25,0.611374,47.1125,0.766381
460,40.625,0.760158,44.6809,0.764659
470,59.375,0.710791,45.5927,0.768857
480,62.5,0.646179,45.8967,0.769503
490,37.5,0.672034,43.769,0.770502
500,56.25,0.591698,45.2888,0.752952
510,43.75,0.752877,44.6809,0.75376
